"boundaryCondition","compartmentCode","constant","cyId","derivedUnits","exponent","fast","fbc_charge","fbc_chemicalFormula","fbc_lowerFluxBound","fbc_objective-obj","fbc_upperFluxBound","hasOnlySubstanceUnits","kind","label","metaId","multiplier","name","reversible","sbml compartment","sbml id","sbml type","sbml type ext","sbo","scale","selected","shared name","units","unitSid","value"
"false","1","false","meta_M_3hmrsACP_c",,,,"-1","C25H47N2O9PRS",,,,"false",,"(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]","meta_M_3hmrsACP_c",,,,"c","M_3hmrsACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxytetradecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_tmrs2eACP_c",,,,"-1","C25H45N2O8PRS",,,,"false",,"Trans-Tetradec-2-enoyl-[acyl-carrier protein]","meta_M_tmrs2eACP_c",,,,"c","M_tmrs2eACP_c","species","species","SBO:0000247",,"false","Trans-Tetradec-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hcmrs7eACP_c",,,,"-1","C25H45N2O9PRS",,,,"false",,"(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]","meta_M_3hcmrs7eACP_c",,,,"c","M_3hcmrs7eACP_c","species","species","SBO:0000247",,"false","(R)-3-hydroxy-cis-myristol-7-eoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_t3c7mrseACP_c",,,,"-1","C25H43N2O8PRS",,,,"false",,"Trans-3-cis-7-myristoleoyl-[acyl-carrier protein]","meta_M_t3c7mrseACP_c",,,,"c","M_t3c7mrseACP_c","species","species","SBO:0000247",,"false","Trans-3-cis-7-myristoleoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hpalmACP_c",,,,"-1","C27H51N2O9PRS",,,,"false",,"R-3-hydroxypalmitoyl-[acyl-carrier protein]","meta_M_3hpalmACP_c",,,,"c","M_3hpalmACP_c","species","species","SBO:0000247",,"false","R-3-hydroxypalmitoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_tpalm2eACP_c",,,,"-1","C27H49N2O8PRS",,,,"false",,"Trans-Hexadec-2-enoyl-[acyl-carrier protein]","meta_M_tpalm2eACP_c",,,,"c","M_tpalm2eACP_c","species","species","SBO:0000247",,"false","Trans-Hexadec-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hcpalm9eACP_c",,,,"-1","C27H49N2O9PRS",,,,"false",,"(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]","meta_M_3hcpalm9eACP_c",,,,"c","M_3hcpalm9eACP_c","species","species","SBO:0000247",,"false","(R)-3-hydroxy-cis-palm-9-eoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_t3c9palmeACP_c",,,,"-1","C27H47N2O8PRS",,,,"false",,"Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]","meta_M_t3c9palmeACP_c",,,,"c","M_t3c9palmeACP_c","species","species","SBO:0000247",,"false","Trans-3-cis-9-palmitoleoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hoctaACP_c",,,,"-1","C29H55N2O9PRS",,,,"false",,"(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]","meta_M_3hoctaACP_c",,,,"c","M_3hoctaACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_toctd2eACP_c",,,,"-1","C29H53N2O8PRS",,,,"false",,"Trans-octadec-2-enoyl-[acyl-carrier protein]","meta_M_toctd2eACP_c",,,,"c","M_toctd2eACP_c","species","species","SBO:0000247",,"false","Trans-octadec-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3hcvac11eACP_c",,,,"-1","C29H53N2O9PRS",,,,"false",,"(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]","meta_M_3hcvac11eACP_c",,,,"c","M_3hcvac11eACP_c","species","species","SBO:0000247",,"false","(R)-3-hydroxy-cis-vacc-11-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_t3c11vaceACP_c",,,,"-1","C29H51N2O8PRS",,,,"false",,"Trans-3-cis-11-vacceoyl-[acyl-carrier protein]","meta_M_t3c11vaceACP_c",,,,"c","M_t3c11vaceACP_c","species","species","SBO:0000247",,"false","Trans-3-cis-11-vacceoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3haACP_c",,,,"-1","C15H27N2O9PRS",,,,"false",,"(3R)-3-Hydroxyacyl-[acyl-carrier protein]","meta_M_3haACP_c",,,,"c","M_3haACP_c","species","species","SBO:0000247",,"false","(3R)-3-Hydroxyacyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_atp_c",,,,"-4","C10H12N5O13P3",,,,"false",,"ATP C10H12N5O13P3","meta_M_atp_c",,,,"c","M_atp_c","species","species","SBO:0000247",,"false","ATP C10H12N5O13P3",,,
"false","1","false","meta_M_gmp_c",,,,"-2","C10H12N5O8P",,,,"false",,"GMP C10H12N5O8P","meta_M_gmp_c",,,,"c","M_gmp_c","species","species","SBO:0000247",,"false","GMP C10H12N5O8P",,,
"false","1","false","meta_M_but2eACP_c",,,,"-1","C15H25N2O8PRS",,,,"false",,"But-2-enoyl-[acyl-carrier protein]","meta_M_but2eACP_c",,,,"c","M_but2eACP_c","species","species","SBO:0000247",,"false","But-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_adprib_c",,,,"-2","C15H21N5O14P2",,,,"false",,"ADPribose C15H21N5O14P2","meta_M_adprib_c",,,,"c","M_adprib_c","species","species","SBO:0000247",,"false","ADPribose C15H21N5O14P2",,,
"false","1","false","meta_M_3hhexACP_c",,,,"-1","C17H31N2O9PRS",,,,"false",,"(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]","meta_M_3hhexACP_c",,,,"c","M_3hhexACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxyhexanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_glc__D_c",,,,"0","C6H12O6",,,,"false",,"D-Glucose","meta_M_glc__D_c",,,,"c","M_glc__D_c","species","species","SBO:0000247",,"false","D-Glucose",,,
"false","1","false","meta_M_thex2eACP_c",,,,"-1","C17H29N2O8PRS",,,,"false",,"Trans-Hex-2-enoyl-[acyl-carrier protein]","meta_M_thex2eACP_c",,,,"c","M_thex2eACP_c","species","species","SBO:0000247",,"false","Trans-Hex-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_adp_c",,,,"-3","C10H12N5O10P2",,,,"false",,"ADP C10H12N5O10P2","meta_M_adp_c",,,,"c","M_adp_c","species","species","SBO:0000247",,"false","ADP C10H12N5O10P2",,,
"false","1","false","meta_M_3hoctACP_c",,,,"-1","C19H35N2O9PRS",,,,"false",,"(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]","meta_M_3hoctACP_c",,,,"c","M_3hoctACP_c","species","species","SBO:0000247",,"false","(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_r5p_c",,,,"-2","C5H9O8P",,,,"false",,"Alpha-D-Ribose 5-phosphate","meta_M_r5p_c",,,,"c","M_r5p_c","species","species","SBO:0000247",,"false","Alpha-D-Ribose 5-phosphate",,,
"false","1","false","meta_M_toct2eACP_c",,,,"-1","C19H33N2O8PRS",,,,"false",,"Trans-Oct-2-enoyl-[acyl-carrier protein]","meta_M_toct2eACP_c",,,,"c","M_toct2eACP_c","species","species","SBO:0000247",,"false","Trans-Oct-2-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_ade_c",,,,"0","C5H5N5",,,,"false",,"Adenine","meta_M_ade_c",,,,"c","M_ade_c","species","species","SBO:0000247",,"false","Adenine",,,
"false","1","false","meta_M_g6p_c",,,,"-2","C6H11O9P",,,,"false",,"D-Glucose 6-phosphate","meta_M_g6p_c",,,,"c","M_g6p_c","species","species","SBO:0000247",,"false","D-Glucose 6-phosphate",,,
"false","1","false","meta_M_3odecACP_c",,,,"-1","C21H37N2O9PRS",,,,"false",,"3-Oxodecanoyl-[acyl-carrier protein]","meta_M_3odecACP_c",,,,"c","M_3odecACP_c","species","species","SBO:0000247",,"false","3-Oxodecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_h_c",,,,"1","H",,,,"false",,"H+","meta_M_h_c",,,,"c","M_h_c","species","species","SBO:0000247",,"false","H+",,,
"false","1","false","meta_M_prpp_c",,,,"-5","C5H8O14P3",,,,"false",,"5-Phospho-alpha-D-ribose 1-diphosphate","meta_M_prpp_c",,,,"c","M_prpp_c","species","species","SBO:0000247",,"false","5-Phospho-alpha-D-ribose 1-diphosphate",,,
"false","1","false","meta_M_nadph_c",,,,"-4","C21H26N7O17P3",,,,"false",,"Nicotinamide adenine dinucleotide phosphate - reduced","meta_M_nadph_c",,,,"c","M_nadph_c","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide phosphate - reduced",,,
"false","1","false","meta_M_aicar_c",,,,"-2","C9H13N4O8P",,,,"false",,"5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide","meta_M_aicar_c",,,,"c","M_aicar_c","species","species","SBO:0000247",,"false","5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide",,,
"false","1","false","meta_M_nadp_c",,,,"-3","C21H25N7O17P3",,,,"false",,"Nicotinamide adenine dinucleotide phosphate","meta_M_nadp_c",,,,"c","M_nadp_c","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide phosphate",,,
"false","1","false","meta_M_3oddecACP_c",,,,"-1","C23H41N2O9PRS",,,,"false",,"3-Oxododecanoyl-[acyl-carrier protein]","meta_M_3oddecACP_c",,,,"c","M_3oddecACP_c","species","species","SBO:0000247",,"false","3-Oxododecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3ocddec5eACP_c",,,,"-1","C23H39N2O9PRS",,,,"false",,"3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]","meta_M_3ocddec5eACP_c",,,,"c","M_3ocddec5eACP_c","species","species","SBO:0000247",,"false","3-oxo-cis-dodec-5-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3omrsACP_c",,,,"-1","C25H45N2O9PRS",,,,"false",,"3-Oxotetradecanoyl-[acyl-carrier protein]","meta_M_3omrsACP_c",,,,"c","M_3omrsACP_c","species","species","SBO:0000247",,"false","3-Oxotetradecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3ocmrs7eACP_c",,,,"-1","C25H43N2O9PRS",,,,"false",,"3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]","meta_M_3ocmrs7eACP_c",,,,"c","M_3ocmrs7eACP_c","species","species","SBO:0000247",,"false","3-oxo-cis-myristol-7-eoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3opalmACP_c",,,,"-1","C27H49N2O9PRS",,,,"false",,"3-Oxohexadecanoyl-[acyl-carrier protein]","meta_M_3opalmACP_c",,,,"c","M_3opalmACP_c","species","species","SBO:0000247",,"false","3-Oxohexadecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3ocpalm9eACP_c",,,,"-1","C27H47N2O9PRS",,,,"false",,"3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]","meta_M_3ocpalm9eACP_c",,,,"c","M_3ocpalm9eACP_c","species","species","SBO:0000247",,"false","3-oxo-cis-palm-9-eoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_3ooctdACP_c",,,,"-1","C29H53N2O9PRS",,,,"false",,"3-Oxooctadecanoyl-[acyl-carrier protein]","meta_M_3ooctdACP_c",,,,"c","M_3ooctdACP_c","species","species","SBO:0000247",,"false","3-Oxooctadecanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_C04051_c",,,,"0","C4H6N4O",,,,"false",,"C04051","meta_M_C04051_c",,,,"c","M_C04051_c","species","species","SBO:0000247",,"false","C04051",,,
"false","1","false","meta_M_3ocvac11eACP_c",,,,"-1","C29H51N2O9PRS",,,,"false",,"3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]","meta_M_3ocvac11eACP_c",,,,"c","M_3ocvac11eACP_c","species","species","SBO:0000247",,"false","3-oxo-cis-vacc-11-enoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_aps_c",,,,"-2","C10H12N5O10PS",,,,"false",,"Adenosine 5'-phosphosulfate","meta_M_aps_c",,,,"c","M_aps_c","species","species","SBO:0000247",,"false","Adenosine 5'-phosphosulfate",,,
"false","1","false","meta_M_actACP_c",,,,"-1","C15H25N2O9PRS",,,,"false",,"Acetoacetyl-ACP","meta_M_actACP_c",,,,"c","M_actACP_c","species","species","SBO:0000247",,"false","Acetoacetyl-ACP",,,
"false","1","false","meta_M_3ohexACP_c",,,,"-1","C17H29N2O9PRS",,,,"false",,"3-Oxohexanoyl-[acyl-carrier protein]","meta_M_3ohexACP_c",,,,"c","M_3ohexACP_c","species","species","SBO:0000247",,"false","3-Oxohexanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_paps_c",,,,"-4","C10H11N5O13P2S",,,,"false",,"3'-Phosphoadenylyl sulfate","meta_M_paps_c",,,,"c","M_paps_c","species","species","SBO:0000247",,"false","3'-Phosphoadenylyl sulfate",,,
"false","1","false","meta_M_3ooctACP_c",,,,"-1","C19H33N2O9PRS",,,,"false",,"3-Oxooctanoyl-[acyl-carrier protein]","meta_M_3ooctACP_c",,,,"c","M_3ooctACP_c","species","species","SBO:0000247",,"false","3-Oxooctanoyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_glc__bD_c",,,,"0","C6H12O6",,,,"false",,"D-Glucose","meta_M_glc__bD_c",,,,"c","M_glc__bD_c","species","species","SBO:0000247",,"false","D-Glucose",,,
"false","1","false","meta_M_malACP_c",,,,"-2","C14H22N2O10PRS",,,,"false",,"Malonyl-[acyl-carrier protein]","meta_M_malACP_c",,,,"c","M_malACP_c","species","species","SBO:0000247",,"false","Malonyl-[acyl-carrier protein]",,,
"false","1","false","meta_M_dcamp_c",,,,"-4","C14H14N5O11P",,,,"false",,"N6-(1,2-Dicarboxyethyl)-AMP","meta_M_dcamp_c",,,,"c","M_dcamp_c","species","species","SBO:0000247",,"false","N6-(1,2-Dicarboxyethyl)-AMP",,,
"false","1","false","meta_M_ocACP_c",,,,"-1","C19H35N2O8PRS",,,,"false",,"Octanoyl-ACP (n-C8:0ACP)","meta_M_ocACP_c",,,,"c","M_ocACP_c","species","species","SBO:0000247",,"false","Octanoyl-ACP (n-C8:0ACP)",,,
"false","1","false","meta_M_fum_c",,,,"-2","C4H2O4",,,,"false",,"Fumarate","meta_M_fum_c",,,,"c","M_fum_c","species","species","SBO:0000247",,"false","Fumarate",,,
"false","1","false","meta_M_ACP_c",,,,"-1","C11H21N2O7PRS",,,,"false",,"Acyl carrier protein","meta_M_ACP_c",,,,"c","M_ACP_c","species","species","SBO:0000247",,"false","Acyl carrier protein",,,
"false","1","false","meta_M_dcaACP_c",,,,"-1","C21H39N2O8PRS",,,,"false",,"Decanoyl-ACP (n-C10:0ACP)","meta_M_dcaACP_c",,,,"c","M_dcaACP_c","species","species","SBO:0000247",,"false","Decanoyl-ACP (n-C10:0ACP)",,,
"false","1","false","meta_M_g6p_B_c",,,,"-2","C6H11O9P",,,,"false",,"Beta D glucose 6 phosphate C6H11O9P","meta_M_g6p_B_c",,,,"c","M_g6p_B_c","species","species","SBO:0000247",,"false","Beta D glucose 6 phosphate C6H11O9P",,,
"false","1","false","meta_M_cdec3eACP_c",,,,"-1","C21H37N2O8PRS",,,,"false",,"Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)","meta_M_cdec3eACP_c",,,,"c","M_cdec3eACP_c","species","species","SBO:0000247",,"false","Cis-dec-3-enoyl-[acyl-carrier protein] (n-C10:1)",,,
"false","1","false","meta_M_25aics_c",,,,"-4","C13H15N4O12P",,,,"false",,"(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate","meta_M_25aics_c",,,,"c","M_25aics_c","species","species","SBO:0000247",,"false","(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate",,,
"false","1","false","meta_M_ddcaACP_c",,,,"-1","C23H43N2O8PRS",,,,"false",,"Dodecanoyl-ACP (n-C12:0ACP)","meta_M_ddcaACP_c",,,,"c","M_ddcaACP_c","species","species","SBO:0000247",,"false","Dodecanoyl-ACP (n-C12:0ACP)",,,
"false","1","false","meta_M_asp__L_c",,,,"-1","C4H6NO4",,,,"false",,"L-Aspartate","meta_M_asp__L_c",,,,"c","M_asp__L_c","species","species","SBO:0000247",,"false","L-Aspartate",,,
"false","1","false","meta_M_34dhmald_c",,,,"0","C8H8O4",,,,"false",,"3,4-Dihydroxymandelaldehyde","meta_M_34dhmald_c",,,,"c","M_34dhmald_c","species","species","SBO:0000247",,"false","3,4-Dihydroxymandelaldehyde",,,
"false","1","false","meta_M_cddec5eACP_c",,,,"-1","C23H41N2O8PRS",,,,"false",,"Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)","meta_M_cddec5eACP_c",,,,"c","M_cddec5eACP_c","species","species","SBO:0000247",,"false","Cis-dodec-5-enoyl-[acyl-carrier protein] (n-C12:1)",,,
"false","1","false","meta_M_myrsACP_c",,,,"-1","C25H47N2O8PRS",,,,"false",,"Myristoyl-ACP (n-C14:0ACP)","meta_M_myrsACP_c",,,,"c","M_myrsACP_c","species","species","SBO:0000247",,"false","Myristoyl-ACP (n-C14:0ACP)",,,
"false","1","false","meta_M_nadh_c",,,,"-2","C21H27N7O14P2",,,,"false",,"Nicotinamide adenine dinucleotide - reduced","meta_M_nadh_c",,,,"c","M_nadh_c","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide - reduced",,,
"false","1","false","meta_M_imp_c",,,,"-2","C10H11N4O8P",,,,"false",,"IMP C10H11N4O8P","meta_M_imp_c",,,,"c","M_imp_c","species","species","SBO:0000247",,"false","IMP C10H11N4O8P",,,
"false","1","false","meta_M_tdeACP_c",,,,"-1","C25H45N2O8PRS",,,,"false",,"Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)","meta_M_tdeACP_c",,,,"c","M_tdeACP_c","species","species","SBO:0000247",,"false","Cis-tetradec-7-enoyl-[acyl-carrier protein] (n-C14:1)",,,
"false","1","false","meta_M_gdp_c",,,,"-3","C10H12N5O11P2",,,,"false",,"GDP C10H12N5O11P2","meta_M_gdp_c",,,,"c","M_gdp_c","species","species","SBO:0000247",,"false","GDP C10H12N5O11P2",,,
"false","1","false","meta_M_34dhoxpeg_c",,,,"0","C8H10O4",,,,"false",,"3,4-Dihydroxyphenylethyleneglycol","meta_M_34dhoxpeg_c",,,,"c","M_34dhoxpeg_c","species","species","SBO:0000247",,"false","3,4-Dihydroxyphenylethyleneglycol",,,
"false","1","false","meta_M_palmACP_c",,,,"-1","C27H51N2O8PRS",,,,"false",,"Palmitoyl-ACP (n-C16:0ACP)","meta_M_palmACP_c",,,,"c","M_palmACP_c","species","species","SBO:0000247",,"false","Palmitoyl-ACP (n-C16:0ACP)",,,
"false","1","false","meta_M_nad_c",,,,"-1","C21H26N7O14P2",,,,"false",,"Nicotinamide adenine dinucleotide","meta_M_nad_c",,,,"c","M_nad_c","species","species","SBO:0000247",,"false","Nicotinamide adenine dinucleotide",,,
"false","1","false","meta_M_agm_c",,,,"2","C5H16N4",,,,"false",,"Agmatine","meta_M_agm_c",,,,"c","M_agm_c","species","species","SBO:0000247",,"false","Agmatine",,,
"false","1","false","meta_M_ptrc_c",,,,"2","C4H14N2",,,,"false",,"Putrescine","meta_M_ptrc_c",,,,"c","M_ptrc_c","species","species","SBO:0000247",,"false","Putrescine",,,
"false","1","false","meta_M_hdeACP_c",,,,"-1","C27H49N2O8PRS",,,,"false",,"Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)","meta_M_hdeACP_c",,,,"c","M_hdeACP_c","species","species","SBO:0000247",,"false","Cis-hexadec-9-enoyl-[acyl-carrier protein] (n-C16:1)",,,
"false","1","false","meta_M_butACP_c",,,,"-1","C15H27N2O8PRS",,,,"false",,"Butyryl-ACP (n-C4:0ACP)","meta_M_butACP_c",,,,"c","M_butACP_c","species","species","SBO:0000247",,"false","Butyryl-ACP (n-C4:0ACP)",,,
"false","1","false","meta_M_34hpp_c",,,,"-1","C9H7O4",,,,"false",,"3-(4-Hydroxyphenyl)pyruvate","meta_M_34hpp_c",,,,"c","M_34hpp_c","species","species","SBO:0000247",,"false","3-(4-Hydroxyphenyl)pyruvate",,,
"false","1","false","meta_M_hexACP_c",,,,"-1","C17H31N2O8PRS",,,,"false",,"Hexanoyl-ACP (n-C6:0ACP)","meta_M_hexACP_c",,,,"c","M_hexACP_c","species","species","SBO:0000247",,"false","Hexanoyl-ACP (n-C6:0ACP)",,,
"false","1","false","meta_M_o2_c",,,,"0","O2",,,,"false",,"O2 O2","meta_M_o2_c",,,,"c","M_o2_c","species","species","SBO:0000247",,"false","O2 O2",,,
"false","1","false","meta_M_urea_c",,,,"0","CH4N2O",,,,"false",,"Urea CH4N2O","meta_M_urea_c",,,,"c","M_urea_c","species","species","SBO:0000247",,"false","Urea CH4N2O",,,
"false","1","false","meta_M_1hdecg3p_c",,,,"-2","C19H37O7P1",,,,"false",,"1-hexadecanoyl-sn-glycerol 3-phosphate","meta_M_1hdecg3p_c",,,,"c","M_1hdecg3p_c","species","species","SBO:0000247",,"false","1-hexadecanoyl-sn-glycerol 3-phosphate",,,
"false","1","false","meta_M_pa160_c",,,,"-2","C35H67O8P1",,,,"false",,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate","meta_M_pa160_c",,,,"c","M_pa160_c","species","species","SBO:0000247",,"false","1,2-dihexadecanoyl-sn-glycerol 3-phosphate",,,
"false","1","false","meta_M_1hdec9eg3p_c",,,,"-2","C19H35O7P1",,,,"false",,"1-hexadec-9-enoyl-sn-glycerol 3-phosphate","meta_M_1hdec9eg3p_c",,,,"c","M_1hdec9eg3p_c","species","species","SBO:0000247",,"false","1-hexadec-9-enoyl-sn-glycerol 3-phosphate",,,
"false","1","false","meta_M_co2_c",,,,"0","CO2",,,,"false",,"CO2 CO2","meta_M_co2_c",,,,"c","M_co2_c","species","species","SBO:0000247",,"false","CO2 CO2",,,
"false","1","false","meta_M_aacoa_c",,,,"-4","C25H36N7O18P3S",,,,"false",,"Acetoacetyl-CoA","meta_M_aacoa_c",,,,"c","M_aacoa_c","species","species","SBO:0000247",,"false","Acetoacetyl-CoA",,,
"false","1","false","meta_M_trnaasp_c",,,,"0","R",,,,"false",,"TRNA(Asp)","meta_M_trnaasp_c",,,,"c","M_trnaasp_c","species","species","SBO:0000247",,"false","TRNA(Asp)",,,
